url_hash,cost_for_two
4a85749cddc9c69da3d5c6c2757cb1d19f423cd8,"₹2,400 for two"
5701a9e58e545226744c3d0fc5b63f4adc0a3a74,"₹1,200 for two"
dcb73ce2ed1dfe4691c26eec9f819022002cea97,₹950 for two
7e906908fecf07163cd1dc424e9ecde39a62a1ef,₹400 for two
555065f52fc1a64e8ddec1acbb8ef31a915b606f,₹250 for two
f24f4b7bd2684bb8d3024200fd5ea18673c5255e,"₹3,000 for two"
724a93ea19a3b4e769e25801cfde62b2b25ed11b,₹700 for two
6bfa62ac95da0e08ecc4f1ce31764e62763885a1,₹550 for two
76056d46c330101cbdbf0ca2e58b4e0506f75018,"₹1,500 for two"
230c232a35c672e1130c1a4b2a202225bfdf7adc,₹600 for two
fce87c75e41521ef4e4d0b9a009340ce5bfb79b5,"₹1,200 for two"
41b72f221ceb99a0f298eb29a52c9bd85f4bc092,"₹1,800 for two"
af75f379e6a2067262996b3f7ffb2830a8cbe571,"₹2,400 for two"
dd80a7fea5fdb21f90730c4b6df7be2dcca840e4,"₹3,500 for two"
661e5b50620a69bee16ff3b97c4c8bdaca99cba8,₹300 for two
a455925fb74ac9fedcb41c5d0b55ec97dfb253e7,"₹1,600 for two"
5bfb37d4e5f5e3c937dc840595bb2de852f54760,"₹1,400 for two"
a5992c8c096a73725f5f0241997a849bee193f63,"₹1,000 for two"
2c0234e4caf7ce65afbc5a63143bde45060e885f,"₹2,800 for two"
803bd786cfa84887aba8f9c9b272f45cbe74bf63,₹700 for two
e958c541baf7c298239f9edfc23e9ef2f4077451,₹500 for two
b44e2c8f1c59c0bf139f3fc19d47a52b9366a27b,₹600 for two
ffaaf10397f9bccd4d7c0f6af203c7134dbe0375,"₹1,500 for two"
8387b2e9d721713c3f6932bb97a51844dbc8471c,₹500 for two
ca594e50f36f59ff0ed26ecda63b74b470c4d865,₹400 for two
fbd8364814b169d7d4a691e0f68817c8d9f39cca,"₹1,200 for two"
2b9317327f70e6dc13612b9ff63b7674fcecb9ab,"₹1,100 for two"
14e37981bafec1b004d60a89b1d419b15a06da9d,"₹1,500 for two"
b9559b7311b55ad3c7aa834d217efd0a69958761,₹400 for two
6586f1130adf3352706d17e319e6d1e175f82639,"₹2,900 for two"
5fa66e033a5c35ff165dcebf4578bd1eb514a8bb,"₹1,000 for two"
7bb80236550b00921c83abe1f20902147ac63bd8,₹400 for two
256157e60b302ad19e33824af0c66d27cf7a5943,"₹2,800 for two"
a3bc4dae57d984019ad18f047f1c31f27f7acda2,₹900 for two
c5b3f54251eeaa4bf34ed5ead99261c3c5dd7d08,"₹4,500 for two"
758f0b5e138ae1fc0c255297f39f015179cde0a9,₹300 for two
fbd60d4944fb6bd05818d9fc9a9a39e6fbc530bd,₹400 for two
a59e430f9ba3150a21df9c99e7d0b957de55fd74,"₹1,400 for two"
d0a1c909d8dc94624ceadc87a375399d80f9688d,"₹2,500 for two"
7521d8cfd535395de9c1b410e6f136a50adbb52a,"₹2,000 for two"
