poi_code,h3index
POI_IND_9999_0x3be7b7f9133374c9:0x347db091ea4afcb7,89608b0921bffff
POI_IND_9999_0x3be7c941b4afca5b:0xd730d9b9722622cb,89608b0869bffff
POI_IND_9999_0x3be7c60666aa0125:0x5fe58861f47d23c9,89608b56d03ffff
POI_IND_9999_0x3be7b11d8d196d03:0x6301de6d77dde3ee,89608b4557bffff
POI_IND_9999_0x3be7b7314377d327:0x11475571f714a685,89608b47143ffff
POI_IND_9999_0x3be7b7a0d95d5fa7:0x541427a4bc6c700,89608b444b7ffff
POI_IND_9999_0x3be7c96950195887:0x94eb89abd489c192,89608b0b54fffff
POI_IND_9999_0x3be7c9b33ea9d5ab:0xcb8c868e14eacb2d,89608b548c7ffff
POI_IND_9999_0x3be7c7f09fb05a17:0xe258893437690639,89608b56a0fffff
POI_IND_9999_0x3be7b07b5b90f2a5:0x6f42c2ea6fbb2c73,89608b40bafffff
POI_IND_9999_0x3be7b985963fc0d9:0x3771f3c5377ea30e,89608b5504bffff
POI_IND_9999_0x3be7b11308a85669:0xf7433ee4fce0b07a,89608b4563bffff
POI_IND_9999_0x3be7bf56286425d3:0x83659820daca6f5,89608b57217ffff
POI_IND_9999_0x3be7bed2ffffffff:0xed0e7b342aad301c,89608b425a3ffff
POI_IND_9999_0x3be7c300651edbd7:0x97003bfe1277df89,89608bccec7ffff
POI_IND_9999_0x3be7b71d251920a3:0xd19dd9cadb4089ca,89608b4608fffff
POI_IND_9999_0x3be7c9654c65e3d1:0x44243010eaee1af7,89608b0b1a3ffff
POI_IND_9999_0x3be7c99824616e79:0xa01db96507bcb46,89608b090bbffff
POI_IND_9999_0x3be7c91ef62b800f:0x7ab1506106d6b7a7,89608b455a7ffff
POI_IND_9999_0x3be7b7cc5ee8edf1:0xe9f923d3e84b936e,89608b465c7ffff
POI_IND_9999_0x3be7c93be8fd8745:0xaf0872452a0853d2,89608b0b33bffff
POI_IND_9999_0x3be7b7a2a3e9c465:0x2d6bc41f0a3a94e,89608b4468bffff
POI_IND_9999_0x3be7b9fd9369b62d:0xf1212aa5f7e1fac4,89608b55c93ffff
POI_IND_9999_0x3be7c91da0342953:0x785236e16e55c891,89608b0b177ffff
POI_IND_9999_0x3be7c9166aadcc0f:0xa974262480629471,89608b084cbffff
POI_IND_9999_0x3be7cf22347515af:0x9aa7c49214e27c97,89608b19963ffff
POI_IND_9999_0x3be7b8efc59bfdb3:0x2e314edccd5b5b9e,89608b55027ffff
POI_IND_9999_0x3be7b7807359492d:0xe9169cac71ed3db0,89608b47157ffff
POI_IND_9999_0x3be7b61f05f35b71:0x9a41a64d0af93709,89608b0937bffff
POI_IND_9999_0x3be7b1007bd10c43:0x7e5e4d8e5bb64a3a,89608b4464fffff
POI_IND_9999_0x3be7c94cdfef2983:0xe49fc38dcf2f5540,89608b0b0dbffff
POI_IND_9999_0x3be7b76e64ca2a4d:0x1fa04430291cba5e,89608b09203ffff
POI_IND_9999_0x3be7b7004d5f48ff:0xa53417ba3dbf5cef,89608b444afffff
POI_IND_9999_0x3be7b6de35ac8b73:0xc33180c3a1b9b80e,89608b444c7ffff
POI_IND_9999_0x3be7b7324b2264d1:0x485dce4c0be5b054,89608b46307ffff
POI_IND_9999_0x3be7c93cff23b9bb:0xd0009baf8a409a39,89608b54c6bffff
POI_IND_9999_0x3be7b866f03f7c3d:0x86d7cadff7cc571e,89608b55cc3ffff
POI_IND_9999_0x3be7b74c79c1978b:0xcad697771cdd95d1,89608b461bbffff
POI_IND_9999_0x3be7b7e1322b1c8f:0xb452b1fea891b817,89608b09257ffff
POI_IND_9999_0x3be7b0e05e0cb687:0xa07ca668e7475b1f,89608b45543ffff
POI_IND_9999_0x3be7c83c25dd979b:0xe35464fcf58f6cf6,89608b54807ffff
POI_IND_9999_0x3be7b63fd72de173:0xfa58aaf3beb2bff7,89608b09267ffff
POI_IND_9999_0x3be7b62e1e9cc79d:0x1dfe5e80ca1e5b1f,89608b44497ffff
POI_IND_9999_0x3be7c82a2adda04d:0xbe67cdd8b6792848,89608b096cbffff
POI_IND_9999_0x3be7b7f599d6742f:0x881d0f67d83010d8,89608b47127ffff
POI_IND_9999_0x3be7c90dfed30e11:0xb90b441d29fb3500,89608b0b3b7ffff
POI_IND_9999_0x3be7c953675a5d2d:0x9ce57434212fc604,89608b0b10bffff
POI_IND_9999_0x3be7b85c433915b1:0x2469070a20f22cc6,89608b55127ffff
POI_IND_9999_0x3be7c849d319e5a3:0x7173d7093a2c8b,89608b549abffff
POI_IND_9999_0x3be7b7bbfdb7f0fb:0x64d578c241c8bed1,89608b47153ffff
POI_IND_9999_0x3be7c839e1a89b8b:0x7b75dbb5618e7a6a,89608b5490bffff
POI_IND_9999_0x3be7c96e0bc5901d:0xeac40502d280d2a8,89608b56d27ffff
POI_IND_9999_0x3be7c9006d491371:0x582d2165770bf1f8,89608b0b377ffff
POI_IND_9999_0x3be7b90176966a11:0xa9f0c73bb1420731,89608b5502fffff
POI_IND_9999_0x3be7c9f2920323f9:0x6d1ca06c89f99d7,89608b0b107ffff
POI_IND_9999_0x3be7c7b4cc3e08cf:0x62351f069e047d63,89608b56d2bffff
POI_IND_9999_0x3be7c916712e22d1:0x4d1f6c997460c88c,89608b0b10bffff
POI_IND_9999_0x3be7c9e9632fa767:0xa041ed4ba454f492,89608b090bbffff
POI_IND_9999_0x3be7c61a3363817d:0x47f0d02a2cdba02e,89608b569dbffff
POI_IND_9999_0x3be7cf6d35bfac2b:0x928e976086318bea,89608b0a4a7ffff
POI_IND_9999_0x3be7cfc99cc79ddf:0x48c8fab9dbf1dc4b,89608b0a55bffff
POI_IND_9999_0x3be7cfb304908a53:0xf990d57a2aa50fab,89608b01453ffff
POI_IND_9999_0x3be7cef32269cccf:0xf041eb22a9ef0a06,89608b0a557ffff
POI_IND_9999_0x3be7b90c3f8baa0d:0x61f9c6fb1b449d5a,89608b5531bffff
POI_IND_9999_0x3be7953cc80009e3:0xe1d6be18473c972e,89608b51573ffff
POI_IND_9999_0x3be7c115a2e2eb3d:0xc6155a8027d88062,89608bcdba3ffff
POI_IND_9999_0x3be7c152c3110947:0x9ff0a8402dbf1232,89608b5709bffff
POI_IND_9999_0x3be7bba50e85faf7:0x1f351d678ce769d8,89608b42327ffff
POI_IND_9999_0x3be7b02970c4b9f9:0xede05225d3b038fb,89608b4e13bffff
POI_IND_9999_0x3be7c3c17dc5390f:0x7e1ebf596fcb5770,89608bcc1d7ffff
POI_IND_9999_0x3be79592210269db:0xfaa41ea5e7a9c11,89608a2483bffff
POI_IND_9999_0x3be7b9c4db1d8c3b:0xe89d59f72b7646a0,89608b5534fffff
POI_IND_9999_0x3be7b9e51f474429:0xf907db4099ca4887,89608b5521bffff
POI_IND_9999_0x3be7b10f652b7405:0x2b87072ef41e0b62,89608b4ec83ffff
POI_IND_9999_0x3be7b12ba503a971:0x7f14d35ef51e62df,89608b44603ffff
POI_IND_9999_0x3be7c9f98af419c7:0x7a95ed5776018191,89608b094cbffff
POI_IND_9999_0x3be7b6e9b1ace8bb:0x6a0d4a2a96a6834,89608b444afffff
POI_IND_9999_0x3be7b73c1a235711:0x8cb5d30c7e14609,89608b09257ffff
POI_IND_9999_0x3be7b6e8d69845cb:0x9837399643369e66,89608b444b7ffff
POI_IND_9999_0x3be7b7cbe91813ef:0x7860b2d2a7e98a58,89608b461afffff
POI_IND_9999_0x3be7b0d9fb01218f:0x2fd9b8c7ff9193f4,89608b4732fffff
POI_IND_9999_0x3be7b6142bf84e0f:0x2c324754ab01e591,89608b0926bffff
POI_IND_9999_0x3be7b7023d326f75:0xde7d90f465ba4e46,89608b445dbffff
POI_IND_9999_0x3be7b73a11b5c883:0x3972cb010a65ec29,89608b0920fffff
POI_IND_9999_0x3be7b70f66615b0f:0xa73a27cb0083d92f,89608b46543ffff
POI_IND_9999_0x3be7c852501cdfb3:0xa11faa32c1f3641f,89608b0b277ffff
