poicode,estimated_visit
POI_IND_9999_0x3be7b17d5987a3cb:0x5afe78c10c37db5,823
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,52
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,138
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,135
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,50
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,1
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,67
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,1
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,61
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,100
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,2
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,100
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,73
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,100
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,74
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,35
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,1
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,142
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,68
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,33
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,173
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,97
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,1
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,153
POI_IND_9999_0x3be7c9abd33d5da5:0xbedf2d3d22c6c28e,108
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,104
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,203
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,402
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,594
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,443
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,448
POI_IND_9999_0x3be7c83efbb5bccd:0x88644402fc0e76bc,396
