h3index,district_code,wbi
89608b56c8fffff,IN.MH.MU,70.63959679
89608b0b113ffff,IN.MH.MU,78.30771911
89608b442c3ffff,IN.MH.MU,61.376421
89608b445d7ffff,IN.MH.MU,70.04648267
89608b44637ffff,IN.MH.MU,64.13129777
89608b45553ffff,IN.MH.MU,68.67604873
89608b465afffff,IN.MH.MU,78.70414149
89608b46603ffff,IN.MH.MU,67.74872111
89608b46a5bffff,IN.MH.MU,57.80886766
89608b46ac7ffff,IN.MH.MU,49.9615137
89608b5456bffff,IN.MH.MU,62.22623868
89608b549cfffff,IN.MH.MU,73.89701571
89608b55117ffff,IN.MH.MU,67.55905127
89608b0b273ffff,IN.MH.MU,64.51647886
89608b4409bffff,IN.MH.MU,70.17721519
89608b46523ffff,IN.MH.MU,75.70211951
89608b46ab7ffff,IN.MH.MU,48.15139669
89608b46dbbffff,IN.MH.MU,53.01073337
89608b4711bffff,IN.MH.MU,65.71274224
89608b54387ffff,IN.MH.MU,71.7218937
89608b54e33ffff,IN.MH.MU,66.73345618
89608b559abffff,IN.MH.MU,61.12835236
89608b55e87ffff,IN.MH.MU,63.80609995
89608b55eb7ffff,IN.MH.MU,57.97843036
89608b5656fffff,IN.MH.MU,36.21053073
89608b5695bffff,IN.MH.MU,74.49792732
89608b569cbffff,IN.MH.MU,76.29693822
89608b0944bffff,IN.MH.MU,71.6035614
89608b0966bffff,IN.MH.MU,75.94432031
89608b096abffff,IN.MH.MU,74.03206173
89608b096d3ffff,IN.MH.MU,72.19582021
89608b44557ffff,IN.MH.MU,73.27180663
89608b46103ffff,IN.MH.MU,73.94766345
89608b46dc3ffff,IN.MH.MU,61.66716176
89608b54307ffff,IN.MH.MU,62.81333389
89608b55313ffff,IN.MH.MU,75.37113775
89608b56d5bffff,IN.MH.MU,71.18998581
89608b0b0cbffff,IN.MH.MU,71.28807657
89608b0b257ffff,IN.MH.MU,60.92479137
89608b0b35bffff,IN.MH.MU,70.00011829
89608b44c6bffff,IN.MH.MU,44.74439741
89608b463dbffff,IN.MH.MU,72.68211182
89608b54243ffff,IN.MH.MU,60.70327829
89608b543abffff,IN.MH.MU,65.75604004
89608b55063ffff,IN.MH.MU,63.62258217
89608b0b02bffff,IN.MH.MU,74.59982821
89608b44023ffff,IN.MH.MU,66.96938262
89608b44207ffff,IN.MH.MU,60.5065833
89608b45533ffff,IN.MH.MU,68.10000718
89608b46443ffff,IN.MH.MU,57.26467464
89608b4656bffff,IN.MH.MU,73.76488126
89608b46873ffff,IN.MH.MU,46.97293174
89608b47367ffff,IN.MH.MU,74.68159277
89608b54b5bffff,IN.MH.MU,59.19775011
89608b55033ffff,IN.MH.MU,64.86790587
89608b55e83ffff,IN.MH.MU,64.4694929
89608b569dbffff,IN.MH.MU,75.65242774
89608b092c3ffff,IN.MH.MU,76.68749108
89608b09627ffff,IN.MH.MU,70.00349692
89608b0b3a7ffff,IN.MH.MU,77.01369579
89608b19e43ffff,IN.MH.MU,55.65247649
89608b19e8fffff,IN.MH.MU,50.02063815
89608b4460fffff,IN.MH.MU,68.64840853
89608b4509bffff,IN.MH.MU,60.59852504
89608b46293ffff,IN.MH.MU,68.19614918
89608b4637bffff,IN.MH.MU,77.37273185
89608b46d57ffff,IN.MH.MU,59.57417983
89608b47173ffff,IN.MH.MU,67.4157017
89608b54897ffff,IN.MH.MU,73.26890444
89608b54c87ffff,IN.MH.MU,70.04241238
89608b56993ffff,IN.MH.MU,72.70239108
89608b56a43ffff,IN.MH.MU,67.30922458
89608b56bc7ffff,IN.MH.MU,75.47987319
89608b0934bffff,IN.MH.MU,66.00799343
89608b094c3ffff,IN.MH.MU,68.58086109
89608b0b563ffff,IN.MH.MU,69.18273037
89608b19357ffff,IN.MH.MU,55.58372833
89608b19367ffff,IN.MH.MU,57.58836571
89608b193d7ffff,IN.MH.MU,46.17592142
89608b44187ffff,IN.MH.MU,59.87492314
89608b444d3ffff,IN.MH.MU,68.60874817
89608b464c3ffff,IN.MH.MU,56.71133067
89608b4660bffff,IN.MH.MU,64.13378076
89608b4717bffff,IN.MH.MU,67.93497008
89608b55163ffff,IN.MH.MU,69.70594701
89608b551cbffff,IN.MH.MU,67.30000414
89608b55c17ffff,IN.MH.MU,65.07519023
89608b0849bffff,IN.MH.MU,52.23534803
89608b0b13bffff,IN.MH.MU,74.86673986
89608b199bbffff,IN.MH.MU,57.25621131
89608b460b3ffff,IN.MH.MU,70.57630436
89608b54347ffff,IN.MH.MU,65.23515938
89608b559a3ffff,IN.MH.MU,64.58855511
89608b0b333ffff,IN.MH.MU,72.22802214
89608b19e93ffff,IN.MH.MU,43.82021073
89608b45517ffff,IN.MH.MU,71.254082
