poi_code,cost_for_two
0x3be7b1cf27e216a3:0xbe3807ba689ca46,"₹2,000 for two"
0x3be7c14b06247589:0x556a32f540a416cd,"₹2,200 for two"
0x3be7cedc5189de17:0x3895ff797125a0b9,"₹1,700 for two"
0x3be7c914975938ad:0x4300fc52de2ad72c,"₹1,100 for two"
0x3be7b19e83033557:0x53c590c9ffd3b007,"₹1,500 for two"
0x3be7b1adfb08e72d:0xe2c27158ffa71229,"₹1,100 for two"
0x3be7b195068c94c1:0x6b610c676c4e919,"₹2,000 for two"
0x3be7aff740c9dad7:0xc3d837eb5e9d0d63,"₹1,000 for two"
0x3be7cef2993f3d05:0x6bc69ed290dda99,
0x3be7cee46e5a4cff:0x22175aefb1d734cb,₹950 for two
0x3be7c7a07bb4f197:0x755088258f5b5b50,"₹3,000 for two"
0x3be7afcfb4dfc2ad:0x892552a112ee1a64,"₹1,800 for two"
0x3be7a9f52161a407:0x70de832da7038a4d,₹950 for two
0x3be7b16b922e9ddb:0x20c152b8ad38fbd9,"₹2,000 for two"
0x3be7cedbaf70b90d:0xcd44b3aff755989a,₹950 for two
0x3be7cf31623f7f91:0x696f306316da6d27,"₹1,000 for two"
0x3be7b1edb330bce3:0x5be6a3e3d5f8c9e,"₹1,900 for two"
0x3be7950051a35c47:0x4da9b266def1c810,"₹1,000 for two"
0x3be7b1f4512ee119:0x38f65d6f27cd6143,"₹2,400 for two"
0x3be7a949cfc7ffeb:0x3092fd29b90545cb,₹700 for two
0x3be7ab692bc5e96b:0x4c3263e61434233d,₹500 for two
0x3be7aeb8f4d608fb:0x7b49cd278f39e7a7,"₹1,900 for two"
0x3be7c9149f41a6bb:0x74665fccd70273bc,₹850 for two
0x3be7d1bf688ad76d:0x5de7d9f716ffb71e,"₹1,900 for two"
0x3be7cff0fc431d11:0xf6dc93bc2d00c50b,₹950 for two
0x3be7cf21727d5445:0x5f355f538f117679,₹950 for two
0x3be7d1c0fb6b23a9:0x1ccd311198f0c5a2,"₹1,000 for two"
0x3be7d1b741c69189:0xb95f8d00858db5e8,"₹1,600 for two"
0x3be7cff1e28604b1:0x92a087f9b6ad89f7,"₹1,700 for two"
0x3be7b1d37bd79a53:0x874d64336d14f5b1,"₹1,500 for two"
0x3be7cfdf880b1217:0x4a7ccd0173ace94,"₹1,600 for two"
0x3be7cf8307d1fdf1:0xc6b44c130e2761c3,"₹1,500 for two"
0x3be7b18af7032b9d:0x6d39dc5bfe3ef220,"₹1,700 for two"
0x3be7ced7c2c73e05:0x2889eeda81e1f74,"₹1,200 for two"
